NOMCCPP	LONGITUDX	LATITUDY
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,87403019	-6,22124851
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86625165	-6,219789096
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,86699147	-6,235962549
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
CHACHAPOYAS	-77,85939117	-6,218497082
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
SANTA MARIA DE NIEVA	-77,87329536	-4,592609503
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
EL MUYO (C.P.L.)	-78,4520309	-5,421676005
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
COPALLIN	-78,42253517	-5,675927228
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,53820349	-5,633276134
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
BAGUA	-78,52529297	-5,641965146
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
SAN FRANCISCO	-78,44875305	-5,621834457
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,44955041	-5,747724579
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
BAGUA GRANDE	-78,45022803	-5,764175455
