ENC	GENERO	AMBITO	REGION	EDAD	NIVEL	DISTRITO	PA	PB	P20	PESO2	REGION2
2985726	Masculino	Urbano	Lima	De 43 a más	A	SAN BORJA	Lima y Callao	Lima	Daniel Urresti por Podemos	0,722194300000000	Lima
2985789	Masculino	Urbano	Lima	De 26 a 42	A	SANTIAGO DE SURCO	Lima y Callao	Lima	Blanco / Viciado	0,722194300000000	Lima
2985820	Masculino	Urbano	Lima	De 43 a más	A	SAN BORJA	Lima y Callao	Lima	No precisa	0,722194300000000	Lima
2985822	Masculino	Urbano	Sierra Centro	De 43 a más	C	EL TAMBO	Junin	0	0	0,828176700000000	Centro
2985826	Femenino	Urbano	Lima	De 26 a 42	A	MIRAFLORES	Lima y Callao	Lima	No precisa	0,722194300000000	Lima
2985833	Masculino	Rural	Sierra Norte	De 43 a más	E	HUANCABAMBA	Piura	0	0	3,894759200000000	Norte
2985848	Femenino	Urbano	Sierra Centro	De 43 a más	C	JUNÍN	Junin	0	0	0,828176700000000	Centro
2985849	Masculino	Urbano	Sierra Centro	De 18 a 25	E	EL TAMBO	Junin	0	0	1,168026700000000	Centro
2985850	Femenino	Urbano	Lima	De 18 a 25	A	SAN BORJA	Lima y Callao	Lima	Daniel Urresti por Podemos	0,722194300000000	Lima
2985851	Masculino	Rural	Sierra Norte	De 26 a 42	B	HUANCABAMBA	Piura	0	0	0,003948800000000	Norte
2985857	Masculino	Urbano	Lima	De 26 a 42	C	SANTA ANITA	Lima y Callao	Lima	Blanco / Viciado	0,844042600000000	Lima
2985858	Masculino	Urbano	Sierra Centro	De 26 a 42	D	EL TAMBO	Junin	0	0	2,083386900000000	Centro
2985859	Femenino	Urbano	Lima	De 26 a 42	A	SANTIAGO DE SURCO	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,722194300000000	Lima
2985860	Masculino	Rural	Costa Norte	De 43 a más	B	OLMOS	Lambayeque	0	0	0,071079200000000	Norte
2985865	Femenino	Urbano	Costa Sur	De 43 a más	D	CERRO COLORADO	Arequipa	0	0	1,281259500000000	Sur
2985866	Femenino	Urbano	Lima	De 18 a 25	C	SAN JUAN DE LURIGANCHO	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,844042600000000	Lima
2985868	Femenino	Urbano	Lima	De 43 a más	C	CARABAYLLO	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,844042600000000	Lima
2985874	Femenino	Urbano	Sierra Norte	De 18 a 25	E	INDEPENDENCIA	Áncash	0	0	0,714354900000000	Norte
2985890	Masculino	Urbano	Costa Norte	De 43 a más	E	CHICLAYO	Lambayeque	0	0	0,921439700000000	Norte
2985896	Femenino	Urbano	Sierra Centro	De 43 a más	D	EL TAMBO	Junin	0	0	2,083386900000000	Centro
2985902	Femenino	Rural	Costa Norte	De 43 a más	E	OLMOS	Lambayeque	0	0	1,565301300000000	Norte
2985903	Masculino	Rural	Sierra Norte	De 43 a más	D	HUANCABAMBA	Piura	0	0	0,722015100000000	Norte
2985905	Femenino	Urbano	Sierra Centro	De 43 a más	C	EL TAMBO	Junin	0	0	0,828176700000000	Centro
2985906	Femenino	Urbano	Costa Sur	De 43 a más	D	CERRO COLORADO	Arequipa	0	0	1,281259500000000	Sur
2985921	Masculino	Urbano	Oriente	De 26 a 42	D	IQUITOS	Loreto	0	0	1,605392500000000	Oriente
2985922	Masculino	Urbano	Costa Norte	De 18 a 25	C	VIRU	La Libertad	0	0	1,157352900000000	Norte
2985923	Femenino	Rural	Costa Norte	De 26 a 42	E	OLMOS	Lambayeque	0	0	1,565301300000000	Norte
2985930	Femenino	Urbano	Lima	De 18 a 25	D	CARABAYLLO	Lima y Callao	Lima	No precisa	0,888577500000000	Lima
2985931	Femenino	Urbano	Oriente	De 26 a 42	C	TARAPOTO	San Martin	0	0	1,185484800000000	Oriente
2985932	Masculino	Rural	Costa Sur	De 18 a 25	D	PACHIA	Tacna	0	0	0,295539900000000	Sur
2985933	Masculino	Urbano	Oriente	De 43 a más	E	BAGUA GRANDE	Amazonas	0	0	0,876358600000000	Oriente
2985934	Femenino	Rural	Costa Norte	De 26 a 42	E	OLMOS	Lambayeque	0	0	1,565301300000000	Norte
2985935	Masculino	Urbano	Costa Norte	De 18 a 25	B	SULLANA	Piura	0	0	0,687797400000000	Norte
2985936	Femenino	Urbano	Costa Norte	De 26 a 42	C	VIRU	La Libertad	0	0	1,157352900000000	Norte
2985937	Masculino	Urbano	Lima	De 43 a más	B	INDEPENDENCIA	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,722194300000000	Lima
2985938	Masculino	Urbano	Lima	De 18 a 25	B	LIMA	Lima y Callao	Lima	No precisa	0,722194300000000	Lima
2985939	Masculino	Urbano	Lima	De 26 a 42	D	VENTANILLA	Lima y Callao	Callao	0	0,888577500000000	Lima
2985942	Masculino	Urbano	Costa Sur	De 43 a más	B	YANAHUARA	Arequipa	0	0	0,397898100000000	Sur
2985949	Femenino	Urbano	Lima	De 26 a 42	A	SAN BORJA	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,722194300000000	Lima
2985951	Femenino	Urbano	Costa Norte	De 26 a 42	E	JOSE LEONARDO ORTIZ	Lambayeque	0	0	0,921439700000000	Norte
2985954	Femenino	Urbano	Costa Norte	De 43 a más	D	CASTILLA	Piura	0	0	1,593514800000000	Norte
2985955	Femenino	Urbano	Costa Norte	De 43 a más	E	CHICLAYO	Lambayeque	0	0	0,921439700000000	Norte
2985957	Masculino	Urbano	Lima	De 43 a más	D	CARABAYLLO	Lima y Callao	Lima	No precisa	0,888577500000000	Lima
2985958	Masculino	Rural	Costa Sur	De 26 a 42	B	PACHIA	Tacna	0	0	0,104748300000000	Sur
2985959	Femenino	Urbano	Lima	De 18 a 25	C	SAN MARTIN DE PORRES	Lima y Callao	Lima	George Forsyth por Somos Perú	0,844042600000000	Lima
2985960	Femenino	Urbano	Costa Sur	De 26 a 42	B	YANAHUARA	Arequipa	0	0	0,397898100000000	Sur
2985961	Femenino	Urbano	Lima	De 18 a 25	C	VILLA EL SALVADOR	Lima y Callao	Lima	No precisa	0,844042600000000	Lima
2985962	Femenino	Urbano	Lima	De 43 a más	C	VILLA EL SALVADOR	Lima y Callao	Lima	No precisa	0,844042600000000	Lima
2985965	Masculino	Urbano	Oriente	De 43 a más	C	TARAPOTO	San Martin	0	0	1,185484800000000	Oriente
2985990	Masculino	Urbano	Oriente	De 18 a 25	D	BAGUA GRANDE	Amazonas	0	0	1,605392500000000	Oriente
2985994	Masculino	Rural	Costa Norte	De 26 a 42	E	OLMOS	Lambayeque	0	0	1,565301300000000	Norte
2985995	Masculino	Urbano	Lima	De 43 a más	C	SANTA ANITA	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,844042600000000	Lima
2985998	Femenino	Urbano	Lima	De 18 a 25	C	LIMA	Lima y Callao	Lima	Blanco / Viciado	0,844042600000000	Lima
2986000	Masculino	Urbano	Lima	De 18 a 25	D	ATE	Lima y Callao	Lima	No precisa	0,888577500000000	Lima
