"ENC","GENERO","AMBITO","REGION","EDAD","NIVEL","DISTRITO","PA","PB","P20","PESO2","REGION2"
2985726,1,1,1,3,1,150130,1,1,1,0.7221943,1
2985789,1,1,1,2,1,150140,1,1,96,0.7221943,1
2985820,1,1,1,3,1,150130,1,1,NA,0.7221943,1
2985822,1,1,5,3,3,120114,11,0,0,0.8281767,3
2985826,2,1,1,2,1,150122,1,1,NA,0.7221943,1
2985833,1,2,3,3,5,200301,17,0,0,3.8947592,2
2985848,2,1,5,3,3,120501,11,0,0,0.8281767,3
2985849,1,1,5,1,5,120114,11,0,0,1.1680267,3
2985850,2,1,1,1,1,150130,1,1,1,0.7221943,1
2985851,1,2,3,2,2,200301,17,0,0,0.0039488,2
2985857,1,1,1,2,3,150137,1,1,96,0.8440426,1
2985858,1,1,5,2,4,120114,11,0,0,2.0833869,3
2985859,2,1,1,2,1,150140,1,1,6,0.7221943,1
2985860,1,2,2,3,2,140308,13,0,0,0.0710792,2
2985865,2,1,6,3,4,40104,5,0,0,1.2812595,4
2985866,2,1,1,1,3,150132,1,1,6,0.8440426,1
2985868,2,1,1,3,3,150106,1,1,6,0.8440426,1
2985874,2,1,3,1,5,20105,3,0,0,0.7143549,2
2985890,1,1,2,3,5,140101,13,0,0,0.9214397,2
2985896,2,1,5,3,4,120114,11,0,0,2.0833869,3
2985902,2,2,2,3,5,140308,13,0,0,1.5653013,2
2985903,1,2,3,3,4,200301,17,0,0,0.7220151,2
2985905,2,1,5,3,3,120114,11,0,0,0.8281767,3
2985906,2,1,6,3,4,40104,5,0,0,1.2812595,4
2985921,1,1,8,2,4,160101,14,0,0,1.6053925,5
2985922,1,1,2,1,3,131201,12,0,0,1.1573529,2
2985923,2,2,2,2,5,140308,13,0,0,1.5653013,2
2985930,2,1,1,1,4,150106,1,1,NA,0.8885775,1
2985931,2,1,8,2,3,220901,19,0,0,1.1854848,5
2985932,1,2,6,1,4,230106,20,0,0,0.2955399,4
2985933,1,1,8,3,5,10701,2,0,0,0.8763586,5
2985934,2,2,2,2,5,140308,13,0,0,1.5653013,2
2985935,1,1,2,1,2,200601,17,0,0,0.6877974,2
2985936,2,1,2,2,3,131201,12,0,0,1.1573529,2
2985937,1,1,1,3,2,150112,1,1,6,0.7221943,1
2985938,1,1,1,1,2,150101,1,1,NA,0.7221943,1
2985939,1,1,1,2,4,70106,1,2,0,0.8885775,1
2985942,1,1,6,3,2,40126,5,0,0,0.3978981,4
2985949,2,1,1,2,1,150130,1,1,6,0.7221943,1
2985951,2,1,2,2,5,140105,13,0,0,0.9214397,2
2985954,2,1,2,3,4,200104,17,0,0,1.5935148,2
2985955,2,1,2,3,5,140101,13,0,0,0.9214397,2
2985957,1,1,1,3,4,150106,1,1,NA,0.8885775,1
2985958,1,2,6,2,2,230106,20,0,0,0.1047483,4
2985959,2,1,1,1,3,150135,1,1,3,0.8440426,1
2985960,2,1,6,2,2,40126,5,0,0,0.3978981,4
2985961,2,1,1,1,3,150142,1,1,NA,0.8440426,1
2985962,2,1,1,3,3,150142,1,1,NA,0.8440426,1
2985965,1,1,8,3,3,220901,19,0,0,1.1854848,5
2985990,1,1,8,1,4,10701,2,0,0,1.6053925,5
2985994,1,2,2,2,5,140308,13,0,0,1.5653013,2
2985995,1,1,1,3,3,150137,1,1,6,0.8440426,1
2985998,2,1,1,1,3,150101,1,1,96,0.8440426,1
2986000,1,1,1,1,4,150103,1,1,NA,0.8885775,1
2986002,2,1,2,3,5,200601,17,0,0,0.9214397,2
2986003,2,1,8,2,5,250101,22,0,0,0.8763586,5
2986004,1,1,1,2,3,150132,1,1,6,0.8440426,1
2986005,2,1,2,2,3,200104,17,0,0,1.1573529,2
2986007,2,1,2,2,4,140105,13,0,0,1.5935148,2
2986011,2,1,2,2,3,131201,12,0,0,1.1573529,2
2986028,1,1,1,3,1,150122,1,1,NA,0.7221943,1
2986030,1,2,2,3,2,140308,13,0,0,0.0710792,2
2986031,1,1,1,2,3,150101,1,1,1,0.8440426,1
2986034,1,1,2,1,2,140101,13,0,0,0.6877974,2
2986035,1,2,8,3,3,60901,7,0,0,0.1972047,5
2986036,2,1,8,2,5,60801,7,0,0,0.8763586,5
2986037,1,1,1,3,3,150112,1,1,1,0.8440426,1
2986044,2,1,2,2,5,200601,17,0,0,0.9214397,2
2986050,1,1,1,3,3,70102,1,2,0,0.8440426,1
2986051,1,1,2,1,4,131201,12,0,0,1.5935148,2
2986052,1,1,1,1,3,150103,1,1,96,0.8440426,1
2986053,1,1,1,3,2,150137,1,1,6,0.7221943,1
2986054,1,1,6,2,4,40104,5,0,0,1.2812595,4
2986055,2,2,3,3,3,60401,7,0,0,0.02998,2
2986056,1,1,8,1,5,10701,2,0,0,0.8763586,5
2986057,1,1,6,2,3,40126,5,0,0,1.8985215,4
2986058,1,1,1,3,5,70106,1,2,0,0.5705734,1
2986060,2,2,8,1,3,60901,7,0,0,0.1972047,5
2986061,2,2,6,2,3,230106,20,0,0,0.5274826,4
2986062,1,1,1,2,2,150101,1,1,96,0.7221943,1
2986063,2,1,8,2,5,250101,22,0,0,0.8763586,5
2986064,1,1,5,1,5,90101,24,0,0,1.1680267,3
2986067,2,1,8,3,4,160101,14,0,0,1.6053925,5
2986068,1,1,2,1,4,140101,13,0,0,1.5935148,2
2986069,2,1,1,3,1,150114,1,1,6,0.7221943,1
2986070,2,1,2,2,5,200701,17,0,0,0.9214397,2
2986071,2,1,2,2,3,200104,17,0,0,1.1573529,2
2986072,1,1,2,1,3,130105,12,0,0,1.1573529,2
2986073,1,1,2,2,2,131201,12,0,0,0.6877974,2
