AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODPERSO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209,P210,P211A,P211D,P212,P213,P214,P215,P216,P217,T211,TICUEST01,OCUPAC_R3,OCUPAC_R4,RAMA_R3,RAMA_R4,CODTAREA,CODTIEMPO,FACPOB
2024,04,015001,003,11,010101,4,4,01,20240150010031101,1,1,1,1,2, ,1,39, ,1, , , ,1,1,1, , , , ,2, , , , , , ,351.016051077348
2024,04,015001,003,11,010101,4,4,02,20240150010031102,2,1,2,1,2, ,2,38, ,1, , , ,2,2,2, , , , ,2, , , , , , ,287.514210233661
2024,04,015001,003,11,010101,4,4,03,20240150010031103,3,1,3,1,2, ,2,7, , ,2,9, ,3,3,0, , , ,9,2, , , , , , ,296.766138642085
2024,04,015001,024,11,010101,4,4,01,20240150010241101,1,1,1,1,2, ,2,49, ,3, , , ,1,1,1, , , , ,2, , , , , , ,221.445141130896
2024,04,015001,024,11,010101,4,4,02,20240150010241102,3,1,3,1,2, ,1,10, , ,2,9, ,2,2,0, , , ,9,2, , , , , , ,298.945601283618
2024,04,015001,024,11,010101,4,4,03,20240150010241103,3,0,1,2, ,2,2,24, ,6, , , ,0,0,0, , , , ,2, , , , , , ,284.721183456359
2024,04,015001,065,11,010101,4,4,01,20240150010651101,1,1,1,1,2, ,1,42, ,1, , , ,1,1,1, , , , ,2, , , , , , ,351.016051077348
2024,04,015001,065,11,010101,4,4,02,20240150010651102,2,1,2,1,2, ,2,37, ,1, , , ,2,2,2, , , , ,2, , , , , , ,287.514210233661
2024,04,015001,065,11,010101,4,4,03,20240150010651103,3,1,3,1,2, ,1,19, ,6, , , ,3,3,3, , , , ,2, , , , , , ,289.104211102145
2024,04,015001,065,11,010101,4,4,04,20240150010651104,3,1,3,1,2, ,2,13, ,6,1, ,20,4,4,0, , , , ,2,571,5211,5139,4649,1,1,296.766138642085
2024,04,015001,085,11,010101,4,4,01,20240150010851101,1,1,1,1,2, ,1,56, ,1, , , ,1,1,1, , , , ,2, , , , , , ,246.032402423192
2024,04,015001,085,11,010101,4,4,02,20240150010851102,2,1,2,1,2, ,2,59, ,1, , , ,2,2,2, , , , ,2, , , , , , ,221.445141130896
2024,04,015001,085,11,010101,4,4,03,20240150010851103,3,1,3,1,2, ,2,21, ,6, , , ,3,3,3, , , , ,2, , , , , , ,284.721183456359
2024,04,015001,085,11,010101,4,4,04,20240150010851104,10,0,1,2, ,2,1,10, , ,2,9, ,0,0,0, , , ,9,2, , , , , , ,298.945601283618
2024,04,015001,126,11,010101,4,4,01,20240150011261101,1,1,1,1,1, ,2,58, ,1, , , ,1,1,1, , , , ,2, , , , , , ,221.445141130896
2024,04,015001,126,11,010101,4,4,02,20240150011261102,2,1,2,1,2, ,1,67, ,1, , , ,2,2,2, , , , ,2, , , , , , ,171.260492295668
2024,04,015001,126,11,010101,4,4,03,20240150011261103,3,2,1,1,2, ,2,35, ,1, , , ,3,3,3, , , , ,2, , , , , , ,287.514210233661
2024,04,015001,126,11,010101,4,4,04,20240150011261104,4,2,2,1,2, ,1,32, ,1, , , ,4,4,4, , , , ,2, , , , , , ,351.016051077348
2024,04,015001,126,11,010101,4,4,05,20240150011261105,5,2,3,1,2, ,2,18, ,6, , , ,5,5,5, , , , ,2, , , , , , ,284.721183456359
2024,04,015001,126,11,010101,4,4,06,20240150011261106,5,2,3,1,2, ,2,1, , , , , ,0,6,0, , , , ,2, , , , , , ,296.766138642085
2024,04,015001,126,11,010101,4,4,07,20240150011261107,3,3,1,1,2, ,2,25, ,6, , , ,7,7,7, , , , ,2, , , , , , ,287.514210233661
2024,04,015001,126,11,010101,4,4,08,20240150011261108,5,3,3,1,2, ,1,4, , , , , ,8,8,0, , , , ,2, , , , , , ,298.945601283618
2024,04,015001,126,11,010101,4,4,09,20240150011261109,3,4,1,1,2, ,2,22, ,6, , , ,9,9,9, , , , ,2, , , , , , ,284.721183456359
2024,04,015001,126,11,010101,4,4,10,20240150011261110,5,4,3,1,2, ,2,2, , , , , ,0,10,0, , , , ,2, , , , , , ,296.766138642085
2024,04,015001,163,11,010101,4,4,01,20240150011631101,1,1,1,1,2, ,1,31, ,1, , , ,1,1,1, , , , ,2, , , , , , ,351.016051077348
2024,04,015001,163,11,010101,4,4,02,20240150011631102,2,1,2,1,2, ,2,30, ,1, , , ,2,2,2, , , , ,2, , , , , , ,287.514210233661
2024,04,015007,011,11,010101,4,4,01,20240150070111101,1,1,1,1,2, ,2,67, ,5, , , ,1,1,1, , , , ,2, , , , , , ,183.267865450647
2024,04,015007,011,11,010101,4,4,02,20240150070111102,3,1,3,1,2, ,1,35, ,6, , , ,2,2,2, , , , ,2, , , , , , ,392.312057086448
2024,04,015007,011,11,010101,4,4,03,20240150070111103,3,2,1,1,2, ,2,30, ,6, , , ,3,3,3, , , , ,2, , , , , , ,321.339411437621
2024,04,015007,011,11,010101,4,4,04,20240150070111104,5,2,3,1,2, ,1,10, , ,2,9, ,4,4,0, , , ,9,2, , , , , , ,334.115672022868
2024,04,015007,044,11,010101,4,4,01,20240150070441101,1,1,1,1,2, ,2,53, ,2, , , ,1,1,1, , , , ,2, , , , , , ,247.497510675707
2024,04,015007,044,11,010101,4,4,02,20240150070441102,2,1,2,1,2, ,1,51, ,2, , , ,2,2,2, , , , ,2, , , , , , ,274.977390943568
