"FECHA";"HORA";"TEMPERATURA";"PRECIP";"HUMEDAD";"DIREC";"VELOCIDAD"
"01/10/2024";"0:00";"14.8";"0.0";94;264;"0.2"
"01/10/2024";"1:00";"15.2";"0.0";90;90;"1.5"
"01/10/2024";"2:00";"15.0";"0.0";92;272;"1.0"
"01/10/2024";"3:00";"14.8";"0.0";93;321;"0.2"
"01/10/2024";"4:00";"14.7";"0.0";93;310;"0.8"
"01/10/2024";"5:00";"14.7";"0.0";94;293;"0.7"
"01/10/2024";"6:00";"14.6";"0.0";94;259;"1.1"
"01/10/2024";"7:00";"15.6";"0.0";90;283;"0.4"
"01/10/2024";"8:00";"17.6";"0.0";81;279;"1.1"
"01/10/2024";"9:00";"19.8";"0.0";75;278;"1.8"
"01/10/2024";"10:00";"22.1";"0.0";68;283;"2.3"
"01/10/2024";"11:00";"22.3";"0.0";65;272;"2.9"
"01/10/2024";"12:00";"22.2";"0.0";66;266;"3.9"
"01/10/2024";"13:00";"22.2";"0.0";68;275;"3.8"
"01/10/2024";"14:00";"23.0";"0.0";66;291;"3.6"
"01/10/2024";"15:00";"21.8";"0.0";68;283;"3.3"
"01/10/2024";"16:00";"19.7";"0.0";76;281;"2.7"
"01/10/2024";"17:00";"17.7";"0.0";83;275;"2.5"
"01/10/2024";"18:00";"16.9";"0.0";86;320;"1.1"
"01/10/2024";"19:00";"15.9";"0.0";89;290;"0.6"
"01/10/2024";"20:00";"15.8";"0.0";89;267;"1.7"
"01/10/2024";"21:00";"15.2";"0.0";92;298;"1.0"
"01/10/2024";"22:00";"15.2";"0.0";92;293;"1.3"
"01/10/2024";"23:00";"15.2";"0.0";92;265;"0.7"
"02/10/2024";"0:00";"14.9";"0.0";93;261;"1.9"
"02/10/2024";"1:00";"14.8";"0.0";94;338;"0.6"
"02/10/2024";"2:00";"15.1";"0.0";92;179;"0.9"
"02/10/2024";"3:00";"14.6";"0.0";93;251;"0.7"
"02/10/2024";"4:00";"14.5";"0.0";94;272;"1.8"
"02/10/2024";"5:00";"14.4";"0.0";95;287;"1.3"
"02/10/2024";"6:00";"14.4";"0.0";95;288;"0.5"
"02/10/2024";"7:00";"14.7";"0.0";94;262;"1.6"
"02/10/2024";"8:00";"15.1";"0.0";91;253;"1.3"
"02/10/2024";"9:00";"15.8";"0.0";90;276;"1.6"
"02/10/2024";"10:00";"15.8";"0.0";89;256;"1.8"
"02/10/2024";"11:00";"17.3";"0.0";84;261;"1.4"
"02/10/2024";"12:00";"19.6";"0.0";74;255;"1.9"
"02/10/2024";"13:00";"21.4";"0.0";70;271;"3.2"
"02/10/2024";"14:00";"21.9";"0.0";67;281;"3.0"
"02/10/2024";"15:00";"19.3";"0.0";75;280;"3.1"
"02/10/2024";"16:00";"20.2";"0.0";71;286;"3.3"
"02/10/2024";"17:00";"19.3";"0.0";75;274;"3.4"
"02/10/2024";"18:00";"17.7";"0.0";79;241;"1.6"
"02/10/2024";"19:00";"16.0";"0.0";85;297;"1.1"
"02/10/2024";"20:00";"15.1";"0.0";89;317;"1.0"
"02/10/2024";"21:00";"14.6";"0.0";91;289;"0.5"
"02/10/2024";"22:00";"14.4";"0.0";91;300;"0.6"
"02/10/2024";"23:00";"14.0";"0.0";93;262;"0.2"
"03/10/2024";"0:00";"13.7";"0.0";94;206;"0.5"
"03/10/2024";"1:00";"14.3";"0.0";93;322;"0.7"
"03/10/2024";"2:00";"13.8";"0.0";95;301;"0.9"
"03/10/2024";"3:00";"13.2";"0.0";95;304;"0.6"
"03/10/2024";"4:00";"13.8";"0.0";96;280;"0.9"
"03/10/2024";"5:00";"13.9";"0.0";96;349;"0.9"
